;;;ML VELHA;;ML NOVA;;;;B2B - 1;B2B - 2;B2B - 3
;;100%;100%;95%;100%;95%;;B2C;15%;20%;30%
SKU;Descrição do Produto;Preço VTEX;Premium;Clássico;Premium;Clássico;Maior Preço;Menor Preço;Desconto;Desconto;Desconto
ACBJC03;Bujão carter magnético SPA; R$ 55.955,00 ; R$ 58,90 ;  ;  ;  ; R$ 55.955,00 ; R$ 58,90 ; R$ 50,07 ; R$ 47,12 ; R$ 41,23 
ACBJC04;Bujão carter magnético SPA; R$ 55.955,00 ; R$ 58,90 ; R$ 55,96 ; R$ 58,90 ; R$ 55,96 ; R$ 55.955,00 ; R$ 55,96 ; R$ 47,57 ; R$ 44,77 ; R$ 39,17 
ACBJC04A;Bujão cárter magnético Rosca M14 x 1.5 - VW / Ford / GM / Honda / Mitsubishi; R$ 36.955,00 ;  ;  ;  ;  ; R$ 36.955,00 ; R$ 36.955,00 ; R$ 31.411,75 ; R$ 29.564,00 ; R$ 25.868,50 
ACBJC05;Bujão carter magnético SPA; R$ 60.705,00 ; R$ 63,90 ; R$ 60,71 ; R$ 63,90 ; R$ 60,71 ; R$ 60.705,00 ; R$ 60,71 ; R$ 51,60 ; R$ 48,57 ; R$ 42,50 
ACBJC06;Bujão carter magnético SPA; R$ 60.705,00 ; R$ 63,90 ; R$ 60,71 ; R$ 63,90 ; R$ 60,71 ; R$ 60.705,00 ; R$ 60,71 ; R$ 51,60 ; R$ 48,57 ; R$ 42,50 
ACBJC08;BUJAO DE CARTER MAGNETICO PARA FUSCA E DERIVADOS MOTOR VW A AR; R$ 38.855,00 ; R$ 40,90 ; R$ 38,86 ;  ;  ; R$ 38.855,00 ; R$ 38,86 ; R$ 33,03 ; R$ 31,09 ; R$ 27,20 
ACBP01;Botão de Partida (Engine Start) universal com iluminação vermelha; R$ 73.055,00 ;  ;  ;  ; R$ 73,06 ; R$ 73.055,00 ; R$ 73,06 ; R$ 62,10 ; R$ 58,45 ; R$ 51,14 
ACBP02;Botão de Partida (Engine Start) universal com iluminação azul; R$ 74.955,00 ; R$ 78,90 ;  ;  ; R$ 74,96 ; R$ 74.955,00 ; R$ 74,96 ; R$ 63,72 ; R$ 59,97 ; R$ 52,47 
ACBZ01;Buzina Uga uga estilo Calhambeque; R$ 112.005,00 ;  ;  ;  ; R$ 112,01 ; R$ 112.005,00 ; R$ 112,01 ; R$ 95,21 ; R$ 89,61 ; R$ 78,41 
ACCBT01;Trava de bateria billet universal V2; R$ 134.805,00 ; R$ 141,90 ; R$ 134,81 ;  ;  ; R$ 134.805,00 ; R$ 134,81 ; R$ 114,59 ; R$ 107,85 ; R$ 94,37 
ACCBT02BK;Trava de bateria billet universal V2; R$ 134.805,00 ; R$ 141,90 ; R$ 134,81 ;  ;  ; R$ 134.805,00 ; R$ 134,81 ; R$ 114,59 ; R$ 107,85 ; R$ 94,37 
ACCBT02RD;Trava de bateria billet universal V2; R$ 134.805,00 ; R$ 141,90 ; R$ 134,81 ; R$ 141,90 ;  ; R$ 134.805,00 ; R$ 134,81 ; R$ 114,59 ; R$ 107,85 ; R$ 94,37 
ACCBT03;Trava de bateria billet universal V5; R$ 134.805,00 ; R$ 141,90 ; R$ 134,81 ;  ;  ; R$ 134.805,00 ; R$ 134,81 ; R$ 114,59 ; R$ 107,85 ; R$ 94,37 
ACCBT04;Trava de bateria billet universal V5; R$ 134.805,00 ; R$ 141,90 ; R$ 134,81 ;  ;  ; R$ 134.805,00 ; R$ 134,81 ; R$ 114,59 ; R$ 107,85 ; R$ 94,37 
ACCBT05;Trava de bateria billet universal V3; R$ 134.805,00 ; R$ 141,90 ; R$ 134,81 ;  ;  ; R$ 134.805,00 ; R$ 134,81 ; R$ 114,59 ; R$ 107,85 ; R$ 94,37 
ACCBT06;Trava de bateria billet universal V3; R$ 134.805,00 ; R$ 141,90 ; R$ 134,81 ;  ;  ; R$ 134.805,00 ; R$ 134,81 ; R$ 114,59 ; R$ 107,85 ; R$ 94,37 
ACCBT07;Trava de bateria billet universal V4; R$ 160.455,00 ; R$ 168,90 ; R$ 160,45 ;  ;  ; R$ 160.455,00 ; R$ 160,45 ; R$ 136,38 ; R$ 128,36 ; R$ 112,32 
ACCBT08;Trava de bateria billet universal V4; R$ 160.455,00 ; R$ 168,90 ; R$ 160,45 ;  ;  ; R$ 160.455,00 ; R$ 160,45 ; R$ 136,38 ; R$ 128,36 ; R$ 112,32 
